"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa00233-RA",122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
"Mcavernosa00240-RA",4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054,4054
"Mcavernosa00241-RA",1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
"Mcavernosa00243-RA",10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012,10.012
"Mcavernosa00244-RA",35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644
"Mcavernosa00245-RA",2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158
"Mcavernosa00247-RA",16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266,16.266
"Mcavernosa00248-RA",1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129
"Mcavernosa00249-RA",798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798
"Mcavernosa00250-RA",4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458,4458
"Mcavernosa00251-RA",417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
"Mcavernosa00252-RA",3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619,3619
"Mcavernosa00253-RA",2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469
"Mcavernosa00254-RA",1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871
"Mcavernosa00257-RA",701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701
"Mcavernosa00258-RA",5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668,5668
"Mcavernosa00259-RA",2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182
"Mcavernosa00260-RA",1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197
"Mcavernosa00261-RA",1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059
"Mcavernosa00262-RA",240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
"Mcavernosa00263-RA",1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242
"Mcavernosa00264-RA",2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325
"Mcavernosa00265-RA",115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
"Mcavernosa00267-RA",860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860
"Mcavernosa00269-RA",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"Mcavernosa00270-RA",1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014
"Mcavernosa00271-RA",1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032
"Mcavernosa00272-RA",438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
"Mcavernosa00273-RA",1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222
"Mcavernosa00274-RA",4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058
"Mcavernosa00275-RA",1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305
"Mcavernosa00276-RA",1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279
"Mcavernosa00277-RA",3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793
"Mcavernosa00278-RA",750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
"Mcavernosa00279-RA",1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362
"Mcavernosa00281-RA",28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847,28.847
"Mcavernosa00283-RA",1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035
"Mcavernosa00284-RA",60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592,60.592
"Mcavernosa00285-RA",1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852
"Mcavernosa00286-RA",921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921,921
"Mcavernosa00287-RA",1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191
"Mcavernosa00289-RA",2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506
"Mcavernosa00290-RA",1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629
"Mcavernosa00291-RA",1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629
"Mcavernosa00292-RA",2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808
"Mcavernosa00293-RA",606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606
"Mcavernosa00294-RA",1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
"Mcavernosa00295-RA",1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
"Mcavernosa00298-RA",900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
"Mcavernosa00299-RA",75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118,75.118
"Mcavernosa00300-RA",1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
"Mcavernosa00301-RA",7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996,7.996
"Mcavernosa00302-RA",1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032
"Mcavernosa00303-RA",213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
"Mcavernosa00304-RA",981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981
"Mcavernosa00305-RA",264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264
"Mcavernosa00306-RA",510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510
"Mcavernosa00307-RA",8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948,8.948
"Mcavernosa00308-RA",846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846
"Mcavernosa00312-RA",999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
"Mcavernosa00313-RA",6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393,6393
"Mcavernosa00314-RA",3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219
"Mcavernosa00316-RA",189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
"Mcavernosa00317-RA",604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604
"Mcavernosa00318-RA",111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001,111.001
"Mcavernosa00319-RA",219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
"Mcavernosa00320-RA",171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
"Mcavernosa00321-RA",330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
"Mcavernosa00323-RA",159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
"Mcavernosa00324-RA",159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
"Mcavernosa00325-RA",442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
"Mcavernosa00327-RA",4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
"Mcavernosa00329-RA",728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728
"Mcavernosa00330-RA",2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714
"Mcavernosa00331-RA",395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
"Mcavernosa00332-RA",944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944
"Mcavernosa00333-RA",2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383
"Mcavernosa00334-RA",979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979
"Mcavernosa00335-RA",814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814
"Mcavernosa00336-RA",438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
"Mcavernosa00337-RA",945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945
"Mcavernosa00338-RA",1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428
"Mcavernosa00339-RA",636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636
"Mcavernosa00340-RA",797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797,797
"Mcavernosa00342-RA",531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531
"Mcavernosa00343-RA",1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
"Mcavernosa00344-RA",330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
"Mcavernosa00345-RA",429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
"Mcavernosa00346-RA",507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507
"Mcavernosa00347-RA",681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681
"Mcavernosa00348-RA",363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363
"Mcavernosa00349-RA",444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
"Mcavernosa00350-RA",3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457
"Mcavernosa00351-RA",384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
"Mcavernosa00352-RA",255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
"Mcavernosa00354-RA",309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309
"Mcavernosa00355-RA",351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351
"Mcavernosa00356-RA",1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132
"Mcavernosa00357-RA",1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068
"Mcavernosa00358-RA",633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633
"Mcavernosa00359-RA",4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256
"Mcavernosa00360-RA",1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
"Mcavernosa00361-RA",35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644
"Mcavernosa00362-RA",23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871,23.871
"Mcavernosa00363-RA",685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
"Mcavernosa00364-RA",1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322
"Mcavernosa00365-RA",331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331
"Mcavernosa00366-RA",1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299
"Mcavernosa00367-RA",334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334
"Mcavernosa00368-RA",1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744
"Mcavernosa00369-RA",21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005,21.005
"Mcavernosa00370-RA",4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569,4569
"Mcavernosa00371-RA",246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
"Mcavernosa00372-RA",255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
"Mcavernosa00373-RA",2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340
"Mcavernosa00374-RA",3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780
"Mcavernosa00375-RA",1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066
"Mcavernosa00377-RA",3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404
"Mcavernosa00378-RA",306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
"Mcavernosa00380-RA",582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582
"Mcavernosa00381-RA",2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529
"Mcavernosa00382-RA",2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465
"Mcavernosa00385-RA",2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503
"Mcavernosa00386-RA",1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187
"Mcavernosa00387-RA",2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971
"Mcavernosa00388-RA",195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
"Mcavernosa00389-RA",1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
"Mcavernosa00391-RA",285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
"Mcavernosa00392-RA",77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092,77.092
"Mcavernosa00397-RA",3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270
"Mcavernosa00400-RA",653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653,653
"Mcavernosa00401-RA",732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732
"Mcavernosa00402-RA",503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
"Mcavernosa00403-RA",1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836
"Mcavernosa00404-RA",863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863,863
"Mcavernosa00405-RA",838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838
"Mcavernosa00406-RA",2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044
"Mcavernosa00407-RA",753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753
"Mcavernosa00408-RA",438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
"Mcavernosa00409-RA",1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959
"Mcavernosa00411-RA",1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745
"Mcavernosa00412-RA",2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042
"Mcavernosa00414-RA",6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737
"Mcavernosa00415-RA",2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101
"Mcavernosa00416-RA",240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
"Mcavernosa00418-RA",1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335
"Mcavernosa00420-RA",1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335
